Life expectancy ,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,GDP,Population,Schooling
56.7,2.13,0,72,57,18.6,323,78,72,1.7,,,
56.3,2.09,0,65,12461,18.2,324,64,65,1.8,,,
55.7,1.52,0,7,55577,17.8,326,72,7,1.9,,,
55,1.53,0,,80123,17.3,327,62,62,2,,,
54.3,1.43,0,,182485,16.9,329,6,6,2,,,
53.5,1.44,0,,44934,16.5,330,52,54,2.1,,,
52.8,1.83,0,,21956,16.1,331,47,41,2.2,,,
52.1,1.85,0,,30466,15.7,331,4,38,2.4,,,
51.8,1.9,0,,8072,15.3,332,3,3,2.4,,,
51.3,1.98,0,,8282,14.9,332,42,4,2.5,,,
86,,0,,9,58.8,0,93,93,0.1,5314.64416,5683483,19.2
84,9.64,10468.76292,,27,58.4,0,94,94,0.1,62425.5392,5643475,19.2
81,9.5,10261.763,,17,58.1,0,94,94,0.1,61191.19263,5614932,18.7
80,9.26,928.4170785,,2,57.7,0,94,94,0.1,5857.521,5591572,18.4
79.7,10.47,10251.10872,,84,57.4,0,91,91,0.1,61753.667,557572,16.9
79.2,10.28,954.4865933,,5,57,0,9,9,0.1,5841.41122,5547683,16.8
78.9,10.08,9765.616994,,6,56.6,0,89,89,0.1,58163.29359,552395,16.8
78.8,10.7,10761.18209,,14,56.3,0,88,88,0.1,64322.6664,5493621,16.8
78.4,10.99,9703.068121,,2,55.9,0,87,87,0.1,58487.451,5461438,16.7
78.1,11.02,850.9544783,,27,55.4,0,93,93,0.1,5226.99311,5437272,16.9
78.1,11.28,7627.412444,,2,55,0,93,93,0.1,48799.8237,5419432,16.6
77.7,11.27,6948.839868,,0,54.4,0,95,95,0.1,46511.6457,544523,16.5
77.3,11.54,650.9813544,,0,53.9,0,96,96,0.1,4458.7764,539574,16.3
77,11.34,4801.546125,,32,53.3,0,98,98,0.1,33228.69291,5375931,16.6
77,11.56,530.4832336,,11,52.8,0,97,97,0.1,3751.64946,5358783,16.2
76.9,11.69,508.7496912,,14,52.2,0,97,97,0.1,3743.55917,5339616,16.5
63.5,,0,84,47,35,1,84,84,2.1,1862.167274,927414,6.3
63,0.38,24.73299655,78,0,34.4,1,78,78,2.1,174.91511,912164,6.3
62.7,0.53,229.4410095,82,28,33.8,2,82,82,2.1,1622.637974,896688,6.3
62.2,0.52,217.2125786,81,709,33.2,2,81,81,1.9,1536.15685,881185,6.3
61.8,0.39,20.35974738,87,49,32.7,2,87,87,2.7,143.986898,865937,5.9
61.3,0.44,187.4960097,88,7,32.2,2,88,88,3.1,1325.99724,851146,5.5
69,0.49,177.2671607,89,48,31.7,2,89,89,3.2,1253.657431,83684,5.3
62,0.49,171.7686449,88,143,31.3,2,89,89,3.3,1214.77118,822934,5
59.8,0.45,20.86878709,25,24,3.9,2,88,88,3.5,147.586896,8942,4.5
59.1,1.02,121.4812077,,49,3.6,2,72,72,3.7,965.6693779,79628,4.3
58.6,1.23,12.70325933,,298,3.2,2,71,71,3.9,94.7297489,783254,4
58.1,1.18,106.0354659,,71,29.8,2,64,64,4,864.184726,77752,3.7
58,1.02,94.13302875,,37,29.4,2,68,68,4.2,819.974118,758615,3.5
57.9,1.03,13.46662004,,50,29,2,62,62,4.3,792.15412,746221,3.3
57.7,0.95,92.4978948,,79,28.6,2,49,53,4.3,781.2322196,732711,2.9
57.4,1.34,91.95075901,,183,28.2,2,46,46,4.1,768.176767,717584,2.9
,0.01,11.41955507,96,0,58.4,0,96,96,0.1,722.75665,,12.7
73.9,,0,81,0,58.9,7,87,85,0.3,6468.471648,1528394,13.2
73.6,5.92,1088.244952,89,0,57.9,7,9,91,0.3,6268.692122,145844,13.2
73.4,5.93,97.52211538,8,0,56.8,7,82,83,0.3,627.55544,1281296,13.2
72.1,5.93,857.1307037,74,0,55.8,7,85,85,0.4,5968.876767,115495,13.1
73.1,5.91,843.7876995,8,2,54.7,7,84,84,0.7,5759.643,12795,13
72.7,6.02,664.5585242,83,0,53.6,8,85,88,0.9,5451.6696,9897985,12.9
73.6,6.05,587.8828228,8,0,52.6,8,85,82,1.2,4952.67753,9767758,12.9
73.3,6.12,49.09241952,81,0,51.5,8,86,82,1.4,511.37937,963652,12.8
72.9,6.05,74.8217488,81,0,5.4,8,86,85,1.6,4647.31359,954353,12.7
72.3,6.2,352.9551269,84,0,49.3,8,88,89,1.8,3836.468771,9371338,12.6
69.7,5.71,289.7418649,87,0,48.2,8,86,87,2,3681.5993,9237566,12.6
69.3,5.16,182.6162515,82,0,47.2,8,66,79,2.1,2421.9662,912998,12.5
73,6.32,293.0196601,79,0,46.1,8,65,79,2.3,2372.628827,896776,12.4
71.4,6.43,4.67359227,63,0,45.1,8,74,82,2.4,38.46578,8832285,12.3
71.2,6.13,340.0239945,66,113,44.1,9,71,72,2.5,2862.154836,8697126,12.3
72,6.58,44.79247812,68,253,43.1,9,71,78,2.5,282.4242,8562622,12.2
76.2,,0,78,0,54.2,7,84,78,0.1,625.62224,16144368,14
76,3.82,79.11626341,83,0,53.5,7,84,83,0.1,6432.216537,1593112,14
76,3.77,59.12850204,87,0,52.8,8,87,87,0.1,674.9829,15661547,13.4
75.5,3.92,41.88087712,88,72,52.1,8,85,87,0.1,572.14313,15419666,13.3
75.3,3.99,344.7412164,88,257,51.4,8,85,88,0.1,5223.351763,15177355,13.2
75,3.95,367.9285652,9,0,5.7,8,88,91,0.1,4657.32361,1493469,13.1
75.1,3.87,282.1440066,91,0,5,8,91,94,0.1,4255.56571,14691275,13.1
74.6,3.76,197.9303077,93,1,49.3,9,94,96,0.1,4274.95265,14447562,13
74.7,3.63,19.60467787,94,0,48.6,9,95,96,0.2,359.71886,1425453,12.9
74.4,3.52,19.13983284,96,0,47.9,9,92,96,0.3,335.786541,1396748,12.8
74.2,3.54,18.09317114,92,0,47.2,9,89,92,0.3,321.942547,13735233,12.8
74.4,3.65,16.37920405,88,0,46.5,9,9,88,0.3,278.557892,1359647,12.7
74.4,3.69,18.26183281,82,0,45.8,10,97,87,0.3,244.46898,1328961,12.6
73.6,3.88,187.3843511,75,0,45.1,10,88,88,0.3,2183.966796,13726,12.5
73.4,4.13,14.5887403,69,2,44.3,10,9,89,0.3,193.741571,12852755,12.4
72.8,3.99,84.17527008,36,0,43.6,11,83,87,0.3,1451.29776,12628596,12.4
79,,0,93,5432,61.1,60,93,93,0.1,,,13.1
78,0.21,0,94,1314,6.2,62,94,94,0.1,,,13.1
79,0.21,0,97,405,59.4,63,97,97,0.1,,,12.8
72,0.23,0,93,245,58.6,64,93,93,0.1,,,12.4
74,0.22,0,96,26,57.8,64,96,96,0.1,,,12.4
70,0.22,0,97,16,57,64,97,97,0.1,,,12.2
69.9,0.21,0,97,608,56.2,64,97,97,0.1,,,12
69.8,0.24,0,97,668,55.5,65,97,97,0.1,,,11.9
69.7,0.21,0,98,1684,54.8,65,98,98,0.1,,,11.7
69.5,0.18,0,98,953,54.2,66,98,98,0.1,,,11.5
69.4,0.16,0,98,77,53.5,68,98,98,0.1,,,11.4
69,0.16,0,97,80,52.9,70,97,97,0.1,,,11.2
68.6,0.15,0,98,164,52.3,72,98,98,0.1,,,11.3
68.7,0.15,0,97,653,51.8,75,97,97,0.1,,,11.2
68.6,0.14,0,99,2150,51.2,78,99,99,0.1,,,11.1
68.8,0.14,0,98,2633,5.7,82,98,98,0.1,,,11
73.5,,0,91,0,56.1,2,92,91,0.2,4127.11775,6312478,13.2
73.3,2.52,665.7260253,93,0,55.4,2,93,94,0.2,3988.771871,6281189,13.2
73,2.42,653.6925016,92,0,54.7,2,92,92,0.2,3895.664491,625777,13.2
73,2.48,591.7757569,92,0,54.1,2,93,92,0.3,3827.786267,6221246,13.2
72,2.37,549.2783081,89,0,53.4,2,9,89,0.3,3736.58713,619256,13
72,2.36,469.3904193,89,0,52.8,2,89,89,0.3,3474.392445,6164626,12.9
71.4,2.55,416.4338399,91,0,52.1,2,91,91,0.3,3366.482133,6137276,12.8
71.7,2.68,53.95949877,98,0,51.4,3,98,98,0.3,357.347674,61131,13.4
71.2,2.83,52.30172215,99,0,5.8,3,99,99,0.3,334.83817,683475,12.9
75,2.77,57.74562629,96,0,5.1,3,96,96,0.2,362.951768,656478,12.9
71,2.77,440.6027042,89,0,49.4,3,89,89,0.2,2835.281237,628961,12.7
70,2.9,398.6058322,9,0,48.6,3,9,9,0.3,2632.79942,6775,12.4
69.9,3.1,400.1342971,94,0,47.8,4,93,94,0.3,2519.737387,5971535,12
73,2.97,29.68529375,81,0,47,4,81,81,0.4,248.4125,59433,11.8
68.9,2.88,332.1056586,75,2,46.2,4,94,92,0.4,2338.772244,595962,11.6
69,2.79,353.6690328,99,0,45.3,5,98,99,0.4,2238.4116,5867626,11.3
58.2,,0,16,1250,24.5,4,17,16,4.2,1347.31257,1175389,9.2
57.9,0.01,13.40477417,2,13,24,4,24,2,4.4,192.59733,1129424,9.2
57.4,10.72,156.3907685,,321,23.5,4,3,3,5.7,2246.9938,183746,9.2
56.7,11.89,1500.412635,,1190,23,4,3,24,8.2,21557.6528,138593,9.2
56.2,10.99,1493.051277,,0,22.6,4,39,41,7.7,21451.88617,99429,9.2
56.1,9.93,1192.696619,,0,22.1,4,59,44,7.2,17136.44568,95114,9.2
55.7,7.97,115.0692415,,78,21.7,4,57,43,7.3,1653.2937,99111,9.1
55.4,8.34,1705.678619,,436,21.3,4,55,42,6.3,22742.38159,868418,9.1
55,6.86,1024.519543,,5,2.9,4,54,41,5.9,15761.83913,829327,9
54.8,7.28,827.5979335,,0,2.5,4,52,4,5.3,12732.2759,792217,9
54.4,7.19,12.0661671,,0,2.2,4,5,39,4.9,185.63334,757317,8.7
54.1,6.28,44.54768305,,38,19.8,4,48,38,4.4,685.34897,724817,8.5
53.8,7.13,309.7834587,,18,19.5,4,46,37,3.6,3577.176197,694611,8.4
53.5,6.01,234.7874207,,24,19.1,4,44,36,2.9,2711.17114,66647,8.2
53.1,5.07,197.7839552,,1339,18.7,4,43,35,2.3,2283.87939,639762,8
52.7,4.46,14.95451321,,0,18.3,4,41,34,1.9,172.68491,614323,0
64.7,,0,95,198,18.6,7,95,95,0.4,,,5
64.4,0.01,0,94,127,18,8,94,94,0.4,,,5
64,0.01,0,94,45,17.5,8,94,94,0.5,,,5
63.6,0.01,0,94,194,17,8,94,94,0.6,,,5
62.9,0.62,20.97991915,96,48,16.5,8,96,96,0.7,582.775532,447469,5
62.1,0.61,17.35739784,9,51,16,9,9,9,0.9,482.14994,43984,5.1
61.4,0.63,1.575160196,92,82,15.5,9,92,92,1,43.7544499,431334,5.2
67,0.49,11.76572311,94,0,15.1,9,94,94,1.1,326.825642,4232636,5.2
62,1.23,11.42385961,91,55,14.7,9,91,91,1.3,317.3294336,4153332,5.3
59.7,0.97,10.60269773,94,128,14.3,9,94,94,1.4,297.828588,466648,5.3
59.4,1.07,5.064688968,96,19,13.9,9,96,96,1.6,276.75896,39697,5.4
59.1,0.64,10.26097341,84,24,13.6,10,98,98,1.8,287.4222243,3858623,5
58.8,0.56,6.913998013,91,376,13.3,10,95,93,1.9,232.7945459,3738265,4.7
58.5,0.83,0.703132179,86,460,13.1,10,92,9,1.9,21.7687981,3614639,4.4
58.1,0.61,5.593619538,,204,12.8,10,89,86,2,215.139213,3497124,4.3
45.3,0.83,0.735940361,,789,12.6,10,82,81,1.9,28.1969487,339281,3.9
77.6,,0,91,4,59.9,0,93,93,0.1,1774.9291,131547,16.5
77.3,0.01,2700.07305,93,0,59.4,0,93,93,0.1,19941.45532,1314545,16.5
76.9,0.01,261.2914808,93,2,59,0,94,94,0.1,1929.7746,1317997,16.5
76.3,0.01,2263.103797,94,4,58.5,0,94,94,0.1,17421.8922,1322696,16.5
76.1,0.01,2146.945741,94,7,58,0,93,93,0.1,17454.84342,1327439,16.4
75.6,14.97,1802.017593,94,0,57.6,0,94,94,0.1,14638.6482,1331475,16.2
74.9,15.04,1717.088711,95,0,57.1,0,95,95,0.1,14726.31828,1334515,16.1
74.2,16.99,225.0723618,94,0,56.7,0,95,95,0.1,1894.5485,13379,16.1
73,17.87,1904.12469,95,1,56.3,0,95,95,0.1,16586.452,13468,16.1
73,16.58,244.3510801,95,27,55.9,0,95,95,0.1,12595.4165,134681,16.1
72.8,15.52,153.5045263,95,2,55.5,0,96,96,0.1,1338.31322,1354775,15.9
72.3,15.07,101.1201161,9,0,55.2,0,95,94,0.1,885.465115,136255,15.7
71.9,11.64,132.7233922,,0,54.9,0,95,94,0.1,7174.237415,13772,15.6
71.2,11.48,7.806042825,,0,54.6,0,94,94,0.1,538.347781,137935,15.4
78,0.01,88.62945822,,0,54.3,0,94,94,0.1,4498.95727,1388115,15
78,0.01,5.34809451,,9,54,0,93,93,0.1,47.32827,1396985,14.4
64.8,,0,77,17745,17.6,194,75,77,0.6,645.4637627,9987333,8.4
64.2,0.01,89.95805845,77,12739,17.2,202,75,77,0.6,571.1622759,97366774,8.4
63.7,1.86,8.313282039,72,5253,16.8,211,7,72,0.9,52.1535887,94887724,8.4
63.3,1.84,86.82551124,69,4347,16.4,221,7,69,1.2,468.567249,92444183,8.4
62.6,1.32,67.77565369,65,3255,16,231,7,65,1.4,354.8463544,946756,8.2
61.8,1.34,67.73374413,62,4235,15.6,243,69,61,1.7,341.39992,877267,8.1
68,1.17,53.77354001,56,1176,15.3,256,65,58,2,379.7566385,85416253,8.1
59.8,1.13,38.55783268,52,3511,14.9,270,63,54,2.4,325.3825543,83184892,7.6
58.5,1.06,30.46451811,47,1446,14.5,286,61,5,2.8,243.326822,8149,7.1
57.2,1.22,22.18952246,,1451,14.2,304,59,46,3.3,193.794956,7885689,6.6
56,0.99,18.03753133,,357,13.8,323,56,44,3.7,161.6266248,7672783,5.8
55,0.86,1.506962482,,73,13.5,342,54,4,4.1,135.7623858,7462445,5.4
54,0.79,10.97201912,,228,13.2,360,55,37,4.4,118.8734466,72545144,5.2
53.2,0.8,10.82452594,,3332,12.9,377,55,35,4.6,111.3634356,7497192,4.9
52.5,0.85,1.186227577,,2366,12.6,392,55,32,4.9,12.1789279,68492257,4.3
51.2,0.88,11.59481766,,1660,12.3,404,55,3,5,123.876257,66537331,3.9
69.9,,0,99,0,62.7,0,99,99,0.1,4921.89629,892149,15.3
69.7,0.01,50.539484,99,0,61.9,0,99,99,0.1,546.3728,88586,15.2
69.6,0.01,460.6487805,99,0,61.1,0,99,99,0.1,4763.68956,879715,15
69.4,0.01,431.4854874,99,0,6.2,0,99,99,0.1,4546.73854,873596,14.9
69.2,0.01,401.7931045,99,0,59.5,0,99,99,0.1,4353.121392,86786,14.7
69.1,2.25,62.08343533,99,0,58.7,0,99,99,0.1,3651.966784,85995,14.6
68.9,2.31,60.65068446,99,1,58,0,99,99,0.1,3369.48247,851967,14.5
68.7,1.95,81.04656111,99,0,57.3,0,99,99,0.1,4177.657789,84334,14.3
68.6,2.09,5.889526221,99,0,56.6,0,99,99,0.1,478.82327,834812,14.2
68.5,2.06,52.1241634,99,136,55.9,0,98,98,0.1,3749.939813,827411,14
68.3,2.02,64.39203443,99,0,55.1,0,97,96,0.1,3658.63832,821817,13.9
68.1,1.63,43.99452464,99,37,54.2,0,96,95,0.1,3332.918533,818354,13.4
68,1.76,253.8196705,99,305,53.2,0,95,94,0.1,2835.973972,816628,13.3
67.9,1.85,206.071686,99,304,52.2,0,94,93,0.1,2259.55796,815691,13.3
67.8,1.93,20.7119129,98,17,51.2,0,92,91,0.1,238.891729,814218,13.2
67.7,2.05,31.25834616,98,0,5.2,0,91,9,0.1,276.1338,811223,13.1
81.1,,0,,2,62.1,0,97,97,0.1,4245.39744,5479531,17
89,8.8,6164.455402,,0,61.7,0,98,98,0.1,49914.61864,5461512,17
87,8.97,6115.496624,,2,61.4,0,98,98,0.1,49638.7713,5438972,17
84,9.24,5889.012536,,0,61,0,99,99,0.1,47415.55987,5413971,17
83,9.81,71.01620838,,27,6.6,0,99,99,0.1,579.72415,5388272,16.9
79.9,9.72,591.6691405,,5,6.2,0,99,99,0.1,4622.41516,5363352,16.8
79.7,9.96,579.7384368,,2,59.8,0,99,99,0.1,4717.15571,5338871,17
79.6,10.26,678.88112,,5,59.4,0,97,99,0.1,5341.31487,5313399,17.1
79.3,10.45,6147.1323,,0,59,0,97,99,0.1,48288.5491,528872,17.2
79.2,10.15,524.7775227,,0,58.6,0,97,97,0.1,4112.67651,5266268,17.2
78.9,9.95,4816.589613,,1,58.1,0,97,97,0.1,38969.17163,524696,17.1
78.7,9.89,4508.806185,,0,57.6,0,96,98,0.1,37636.11173,5228172,18.3
78.4,9.31,3869.026302,,0,57.1,0,96,98,0.1,32816.1688,521314,18.1
78.1,9.25,3099.357319,,0,56.6,0,95,98,0.1,26834.2625,52598,18
78,8.94,2775.33544,,1,56.1,0,95,98,0.1,24913.24452,51888,17.7
77.5,8.59,397.7533689,,0,55.5,0,96,99,0.1,24253.2542,517629,17.3
82.4,,0,86,157,62.5,3,98,98,0.1,36526.7711,6662468,16.3
82.2,11.5,6739.677606,83,267,62,3,98,98,0.1,42955.24287,66331957,16.2
82,11.1,6646.953935,74,272,61.6,3,99,99,0.1,42554.1225,6599857,16.2
81.5,11.5,751.3793553,78,0,61.1,3,99,99,0.1,4838.2444,6565979,16.1
81.7,11.8,683.9190568,74,14949,6.6,3,99,99,0.1,4381.288,65342776,16.1
81.3,11.7,72.8001211,65,5048,6.1,3,99,99,0.1,473.34279,6527512,16
81.1,11.8,6415.35735,51,1541,59.6,3,98,98,0.1,41631.13141,647744,16
89,11.9,7002.785925,47,604,59.1,3,98,98,0.1,45413.6571,6437499,16.1
89,12.2,64.73714894,42,39,58.6,3,99,98,0.1,416.58397,6416229,16.1
86,12.4,5689.991931,39,40,58,4,99,99,0.1,36544.5853,63621376,16.1
81,12.2,5451.701225,35,36,57.5,4,98,98,0.1,34879.72633,63179356,15.5
82,13.18,5291.234786,35,4448,57,4,99,98,0.1,33874.74255,6274897,15.5
79.3,13.49,4572.441963,28,0,56.4,4,96,97,0.1,29691.18158,62244884,15.4
79.2,13.78,3779.655273,29,5185,55.8,4,97,97,0.1,24275.2426,6185267,15.5
79,13.89,3451.185079,28,0,55.2,4,98,97,0.1,22527.31775,61357431,15.6
78.8,13.63,3410.284431,26,10000,54.6,4,98,97,0.1,22465.64184,6912498,15.7
66,,0,8,27,36.3,3,79,8,2.7,7388.984144,193175,12.6
65.5,0.01,715.2816939,7,33,35.8,3,68,7,2.8,9692.163874,1875713,12.6
64.6,8.86,154.8758879,79,122,35.2,3,77,79,3.7,9679.742995,1817271,12.5
63.5,8.3,805.3925284,82,2,34.6,3,8,82,4.9,9774.18117,1756817,12.5
62.8,8.9,133.5223672,75,2,34.1,3,75,75,6,1716.2258,169711,12.5
62.3,8.85,145.318282,67,1,33.5,3,68,67,7,8754.113376,16421,12.5
61.7,8.64,52.31086276,79,0,33,3,74,76,8,763.66223,1586754,12.4
61.6,8.75,11.05422474,82,3,32.4,3,81,82,8.9,194.2746,1536411,12.4
61.6,9.02,545.4389573,75,0,31.9,3,78,81,10,8352.81711,1489193,12.4
61.4,8.01,40.53719812,52,90,31.4,3,44,45,10.7,727.777345,1444844,12.4
65,7.72,353.2438029,28,0,3.8,3,44,45,10.9,6741.293948,143126,12.4
59.7,8.13,443.4750634,,63,3.3,3,44,45,11.1,5685.577736,136425,12.3
59.7,6.47,352.232365,,0,29.8,3,44,45,11,4892.11618,1328146,12.3
59.7,8.34,22.69039905,,110,29.2,3,44,45,10.7,412.55271,129449,12.3
59.8,9.29,183.6980778,,5129,28.7,3,44,45,10.1,3976.14887,1262259,12.3
61,8.87,218.1727473,,15,28.1,3,44,45,9.5,4116.46693,1231122,12.2
61.1,,0,97,71,27.3,5,96,97,1.7,,,8.9
68,0.01,0,96,1,26.7,5,97,96,1.7,,,8.9
66,0.01,0,97,0,26,5,96,97,1.6,,,8.9
62,0.01,0,98,0,25.4,5,98,98,1.4,,,8.8
59.8,3.41,0,96,0,24.8,5,95,96,1.8,,,8.7
59.3,3.48,0,97,2,24.1,6,97,97,2.1,,,8.8
59,2.99,0,97,0,23.5,6,97,98,2.7,,,8.9
58.7,2.79,0,98,0,22.8,6,96,96,3,,,8.6
58.5,2.64,0,97,0,22.2,6,94,95,3.1,,,8.4
58.2,2.93,0,95,0,21.5,6,94,95,3,,,8.1
57.7,2.26,0,95,0,2.9,6,94,95,3,,,7.8
57.3,2.51,0,95,0,2.3,6,88,87,2.9,,,7.6
57,2.47,0,94,119,19.7,6,87,87,2.7,,,7.3
56.6,2.08,0,92,32,19.1,6,86,87,2.5,,,7
56.3,2.25,0,91,99,18.5,6,85,87,2.3,,,6.8
55.9,2.18,0,91,336,18,6,84,8,2,,,6.5
74.4,,0,94,431,56.2,1,91,94,0.1,3764.64912,37171,13.9
74.5,6.13,221.482875,91,3188,55.3,1,91,91,0.1,4429.6575,3727,13.5
74.5,5.91,180.3787034,96,7872,54.4,1,94,93,0.1,4274.376857,3776,13.5
74.2,7.71,158.2576025,92,31,53.6,1,93,92,0.1,4142.869175,3825,13.4
73.9,8.14,198.94876,89,64,52.8,1,88,94,0.1,3725.63221,3875,13.3
73.8,7.24,194.1732658,95,22,52,1,88,92,0.1,2964.47734,3926,13.3
73.2,6.66,18.5314303,54,23,51.3,1,93,88,0.1,276.588512,3978,12.8
73.9,7.17,151.762567,89,56,5.5,1,9,92,0.1,3174.9491,43,13.1
74.4,8.65,106.164686,94,44,49.9,1,88,98,0.1,2492.12878,482,12.5
73.9,6.18,110.1138286,84,334,49.2,1,89,88,0.1,1872.68416,4136,12.6
73.9,4.7,9.444875415,79,1356,48.6,1,82,82,0.1,153.57521,419,12.2
72.3,3.74,7.132564768,64,6847,48.1,1,66,78,0.1,127.367228,4245,12
72.7,3.36,70.54185252,48,216,47.5,2,74,75,0.1,928.18227,431,11.8
71.7,2.72,60.55818291,51,199,47,2,89,84,0.1,779.3845935,4357,11.8
73,2.76,57.10318825,61,35,46.5,2,83,87,0.1,733.974142,43864,11.7
71.8,3.28,47.81704183,55,50,46,2,81,8,0.1,691.997711,44183,11.4
81,,0,88,2464,62.3,3,94,95,0.1,41176.88158,81686611,17.1
89,11.03,941.7562909,88,443,61.9,3,94,95,0.1,4792.65288,89825,17
86,10.94,895.8779503,88,1771,61.4,3,94,95,0.1,4653.91143,864565,16.9
86,11.18,839.91332,88,166,6.9,3,94,95,0.1,4465.24891,8425823,16.9
85,11.2,869.790735,88,1607,6.4,3,94,95,0.1,4681.32796,8274983,16.8
81,11.2,7584.078579,88,780,59.9,3,94,95,0.1,41785.55691,8177693,16.7
80,11.22,7641.270645,88,574,59.5,3,95,96,0.1,41732.7725,819237,16.7
79.9,11.36,8285.264655,87,917,59,3,95,96,0.1,45699.19832,821197,16.6
79.8,11.5,7777.556353,86,567,58.5,3,95,96,0.1,41814.8191,82266372,16.6
79.6,11.76,6407.535954,87,2307,58,3,94,96,0.1,36447.87232,82376451,16.5
79.2,11.67,6012.92584,9,778,57.6,3,95,96,0.1,34696.6292,82469422,16.4
79.1,11.83,5842.374765,88,121,57.1,3,96,96,0.1,34165.9343,8251626,16.4
78.5,11.92,582.6157028,9,779,56.6,4,96,97,0.1,3359.95215,82534176,16.3
78.4,12.25,437.1059663,87,4657,56.1,4,97,93,0.1,2525.16445,82488495,16.3
78.3,12.46,4057.637383,86,6024,55.6,4,96,93,0.1,23687.31689,82349925,16.2
78,12.91,4238.540035,84,0,55.1,4,94,9,0.1,23718.7467,8221158,16.2
62.4,,0,88,23,28.6,52,88,88,0.7,1361.11395,27582821,11.4
62.1,0.01,97.67794571,98,124,28,54,93,98,0.8,1432.227943,26962563,11.7
61.9,0.01,28.66897829,9,319,27.3,55,91,9,0.9,1814.492297,26346251,11.5
61.6,0.01,151.899429,92,1613,26.7,56,91,92,0.9,1629.8222,2573349,11.2
61.2,1.64,225.2219474,91,120,26.1,58,91,91,1.3,1574.978653,25121796,10.9
69,1.69,195.9824626,94,641,25.5,59,94,94,1.9,1312.67557,2451214,10.5
66,1.76,30.72290501,94,101,24.9,60,94,94,2.1,186.76538,2393831,10.4
63,1.78,161.0106435,93,82,24.2,61,92,93,2.2,1224.41554,2329864,9.8
59.9,1.25,3.181373629,94,6,23.6,61,94,94,2.6,19.686718,227212,9.1
59.4,1.7,129.0263364,84,420,23,62,84,84,2.9,922.9351677,22113425,8.7
58.9,1.5,78.71123825,84,435,22.4,62,85,84,3.1,498.172394,215429,8.1
58.3,1.46,53.23775977,8,60,21.8,62,81,8,3.2,423.1936389,2986536,7.7
57.9,1.53,31.09435342,8,1939,21.2,63,8,8,3.4,373.2815537,2446782,7.9
57.6,1.6,3.336437969,8,12289,2.7,63,8,78,3.5,39.484473,19924522,7.6
57.4,1.49,25.55981288,,13476,2.1,64,81,79,3.5,273.6596668,1942165,8
57.2,1.6,20.65432873,,23068,19.5,65,88,88,3.6,263.1124679,18938762,7.7
81,,0,96,1,66.5,0,99,99,0.1,187.78991,182883,17.2
88,7.53,2163.043414,96,1,66,0,99,99,0.1,21673.7817,1892413,17.2
86,7.46,2183.106986,98,3,65.4,0,99,99,0.1,21874.8195,1965211,17.1
84,8.2,2528.992935,98,3,64.9,0,99,99,0.1,22242.68193,114511,16.8
85,8.02,3192.887363,95,40,64.3,0,99,99,0.1,25916.29353,1114899,16.7
83,9,3189.754439,95,149,63.7,0,99,99,0.1,26917.75898,11121341,16.4
80,9.08,372.6854142,95,2,63.1,0,99,99,0.1,2971.973,111717,16.2
79.9,9.51,3682.88717,95,1,62.4,0,99,99,0.1,31997.2821,1177841,15.9
79.4,9.67,3632.243121,95,2,61.8,0,99,99,0.1,28827.32636,1148473,16.4
79.7,9.42,318.5806628,94,0,61.2,1,98,98,0.1,2481.15781,112362,16.3
79.3,9.95,2785.139364,93,122,6.5,1,96,96,0.1,22551.73574,1987314,15.6
79.2,9.56,287.6124519,92,1,59.9,1,95,95,0.1,21955.149,1955141,15.3
79.1,9.46,2124.921517,92,0,59.2,1,93,94,0.1,18477.57841,19287,15.2
79,8.09,160.8897265,91,5,58.6,1,92,92,0.1,1411.31339,19222,14.6
78.7,8.62,1403.022211,9,12,58,1,9,91,0.1,12538.17883,1862132,14.2
78.2,8.48,122.1823517,89,56,57.4,1,89,89,0.1,1242.95373,18588,13.9
73.6,,0,92,0,48.4,0,99,92,0.1,9212.192824,,15.8
73.5,8.42,789.2764615,97,0,47.4,0,81,97,0.1,8569.776998,,15.8
73.3,8.25,780.4459281,97,0,46.5,0,98,97,0.1,7955.615985,,15.8
73.1,8.07,865.9999782,97,0,45.6,0,98,97,0.1,7583.1872,,15.8
72.9,7.84,11.56715633,94,0,44.7,0,95,95,0.1,741.48438,,15.8
72.6,7.91,145.8401998,97,0,43.9,0,94,97,0.1,7365.666659,,15.8
72.4,8.42,146.4384488,99,0,43.1,0,99,99,0.1,7395.88125,,15.6
72.1,8.92,754.9597129,99,0,42.4,0,99,99,0.1,7946.944346,,15.4
71.9,9.06,95.19375921,96,0,41.8,0,96,96,0.1,7322.596862,,15.3
71.7,9.06,662.2663687,91,0,41.1,0,91,91,0.1,6764.722867,,15.1
71.5,8.8,119.5548694,99,0,4.5,0,99,99,0.1,6754.512393,,14.9
73,8.43,100.965873,83,0,39.9,0,84,83,0.1,5836.17763,,14.8
71.1,9.75,77.9454329,97,0,39.4,0,98,97,0.1,5773.73577,,14.6
79,10.71,513.3465408,98,0,38.8,0,98,98,0.1,5292.232379,,14.4
77,9.61,81.11355954,96,0,38.2,0,96,96,0.1,519.958715,,14.3
74,9.4,676.5453878,,0,37.7,0,97,97,0.1,5117.589923,,14.1
71.9,,0,74,0,5.6,12,9,74,0.4,3923.573344,16252429,10.7
